HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.S_No,Input.Review,Input.Rating,Answer.sentiment.label,Approve,Reject
3YD0MU1NC2BIXSAVBBHPS5FTKU17AU,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3I2PTA7R3U4117MQ939LATU8QO5QK3,A34Q3XQRB0QYC8,Submitted,Mon Nov 08 08:15:29 PST 2021,Mon Nov 08 09:12:01 PST 2021,Wed Nov 10 09:12:01 PST 2021,,,,3392,0% (0/0),0% (0/0),0% (0/0),3,Will always use this service! Great products!,4,Fake,,
3YD0MU1NC2BIXSAVBBHPS5FTKU17AU,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,33LK57MYLUF83I0P1810S8XMCL3SZG,A3TNLC6XGYNDKS,Submitted,Mon Nov 08 08:15:21 PST 2021,Mon Nov 08 08:15:27 PST 2021,Wed Nov 10 08:15:27 PST 2021,,,,6,0% (0/0),0% (0/0),0% (0/0),3,Will always use this service! Great products!,4,Real,,
3TX9T2ZCB9BYOFJ4VB501E5JM6GZWO,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3DH6GAKTYZZ5Z4CY0ETPAULNT6ZZY1,A1NRZ7O1TEJB1V,Submitted,Mon Nov 08 09:16:30 PST 2021,Mon Nov 08 09:33:47 PST 2021,Wed Nov 10 09:33:47 PST 2021,,,,1037,0% (0/0),0% (0/0),0% (0/0),4,Great products and great service,3,Real,,
3TX9T2ZCB9BYOFJ4VB501E5JM6GZWO,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3M23Y66PO3H6F8GEZ34PVA4R7H76S4,A2MSJRDUC5X680,Submitted,Mon Nov 08 08:15:49 PST 2021,Mon Nov 08 08:16:00 PST 2021,Wed Nov 10 08:16:00 PST 2021,,,,11,0% (0/0),0% (0/0),0% (0/0),4,Great products and great service,3,Fake,,
3TX9T2ZCB9BYOFJ4VB501E5JM6GZWO,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3QAPZX2QN5NIWYD13Z92VRHWWKM20W,A30ENTLELXJH32,Submitted,Mon Nov 08 08:15:52 PST 2021,Mon Nov 08 08:16:49 PST 2021,Wed Nov 10 08:16:49 PST 2021,,,,57,0% (0/0),0% (0/0),0% (0/0),4,Great products and great service,3,Fake,,
3TX9T2ZCB9BYOFJ4VB501E5JM6GZWO,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,37Z929RLGAICH6RQVGCI6KW5RPHST0,AMPMTF5IAAMK8,Submitted,Mon Nov 08 08:15:19 PST 2021,Mon Nov 08 08:18:12 PST 2021,Wed Nov 10 08:18:12 PST 2021,,,,173,0% (0/0),0% (0/0),0% (0/0),4,Great products and great service,3,Real,,
3NRZ1LDP7WG846M3JPR59KXNT9DPZJ,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,37M28K1J0RNE379R2MCNJEFQ7IYAJY,A1NRZ7O1TEJB1V,Submitted,Mon Nov 08 09:21:56 PST 2021,Mon Nov 08 09:33:56 PST 2021,Wed Nov 10 09:33:56 PST 2021,,,,720,0% (0/0),0% (0/0),0% (0/0),5,A friend recommended this page to me because the supplements they sell are very effective in boosting my immune system. And just as I thank my friend for telling me about this I also thank BetterWayHealth for the fantastic supplements that have helped me and for the kind service provided,5,Real,,
3NRZ1LDP7WG846M3JPR59KXNT9DPZJ,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,32EYX73OY1JFG462GW2NL6DBO15RU2,A2DDPSXH2X96RF,Submitted,Mon Nov 08 08:15:55 PST 2021,Mon Nov 08 08:28:34 PST 2021,Wed Nov 10 08:28:34 PST 2021,,,,759,0% (0/0),0% (0/0),0% (0/0),5,A friend recommended this page to me because the supplements they sell are very effective in boosting my immune system. And just as I thank my friend for telling me about this I also thank BetterWayHealth for the fantastic supplements that have helped me and for the kind service provided,5,Real,,
3NRZ1LDP7WG846M3JPR59KXNT9DPZJ,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3VD82FOHKRYGXXXM2D0JX5M06EFOCH,A2MSJRDUC5X680,Submitted,Mon Nov 08 08:16:32 PST 2021,Mon Nov 08 08:18:05 PST 2021,Wed Nov 10 08:18:05 PST 2021,,,,93,0% (0/0),0% (0/0),0% (0/0),5,A friend recommended this page to me because the supplements they sell are very effective in boosting my immune system. And just as I thank my friend for telling me about this I also thank BetterWayHealth for the fantastic supplements that have helped me and for the kind service provided,5,Real,,
3NRZ1LDP7WG846M3JPR59KXNT9DPZJ,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,33TIN5LC05KQTDULWGZQX6JUE3AY9K,A3J54EVSQXH58J,Submitted,Mon Nov 08 08:15:24 PST 2021,Mon Nov 08 09:04:33 PST 2021,Wed Nov 10 09:04:33 PST 2021,,,,2949,0% (0/0),0% (0/0),0% (0/0),5,A friend recommended this page to me because the supplements they sell are very effective in boosting my immune system. And just as I thank my friend for telling me about this I also thank BetterWayHealth for the fantastic supplements that have helped me and for the kind service provided,5,Real,,
3YLPJ8OXX8NXAI05KNBW916HUDJX43,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3EWIJTFFVPHAREPHWJ43XSQLTNBE09,A177DH0HQXL89M,Submitted,Mon Nov 08 08:15:24 PST 2021,Mon Nov 08 08:23:20 PST 2021,Wed Nov 10 08:23:20 PST 2021,,,,476,0% (0/0),0% (0/0),0% (0/0),6,Very happy with products and delivery,5,Fake,,
3YLPJ8OXX8NXAI05KNBW916HUDJX43,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3634BBTX0P4D4N6TVKDFLEBHRJCIFX,A2MCG5W6LHSRG9,Submitted,Mon Nov 08 08:33:21 PST 2021,Mon Nov 08 08:49:27 PST 2021,Wed Nov 10 08:49:27 PST 2021,,,,966,0% (0/0),0% (0/0),0% (0/0),6,Very happy with products and delivery,5,Real,,
3YLPJ8OXX8NXAI05KNBW916HUDJX43,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3A4NIXBJ779L0Y6G2AE58KNI5NGMLI,A3NWMR6W9LOUP3,Submitted,Mon Nov 08 08:21:22 PST 2021,Mon Nov 08 08:21:54 PST 2021,Wed Nov 10 08:21:54 PST 2021,,,,32,0% (0/0),0% (0/0),0% (0/0),6,Very happy with products and delivery,5,Real,,
3YLPJ8OXX8NXAI05KNBW916HUDJX43,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3C44YUNSI2Z8NPF1H9896B981JMPDY,A3TNLC6XGYNDKS,Submitted,Mon Nov 08 08:15:59 PST 2021,Mon Nov 08 08:16:05 PST 2021,Wed Nov 10 08:16:05 PST 2021,,,,6,0% (0/0),0% (0/0),0% (0/0),6,Very happy with products and delivery,5,Real,,
3ZFRE2BDQ9ODDFOU5G1M3XJQV8MZXH,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3JJVG1YBEC7BFIZYJY8PDFGR7ZEB5Y,A1NRZ7O1TEJB1V,Submitted,Mon Nov 08 08:33:23 PST 2021,Mon Nov 08 09:01:52 PST 2021,Wed Nov 10 09:01:52 PST 2021,,,,1709,0% (0/0),0% (0/0),0% (0/0),7,The products were very helpful in getting my supplements level to the point,4,Real,,
3ZFRE2BDQ9ODDFOU5G1M3XJQV8MZXH,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,320DUZ38G8WFDYMUOM4XF0QT5C0GJ3,A1YSYI926BBOHW,Submitted,Mon Nov 08 08:28:00 PST 2021,Mon Nov 08 08:31:09 PST 2021,Wed Nov 10 08:31:09 PST 2021,,,,189,0% (0/0),0% (0/0),0% (0/0),7,The products were very helpful in getting my supplements level to the point,4,Fake,,
3ZFRE2BDQ9ODDFOU5G1M3XJQV8MZXH,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3WS1NTTKEZM2XSPDRUO9FABL5OR0FE,A2DDPSXH2X96RF,Submitted,Mon Nov 08 08:15:58 PST 2021,Mon Nov 08 08:28:53 PST 2021,Wed Nov 10 08:28:53 PST 2021,,,,775,0% (0/0),0% (0/0),0% (0/0),7,The products were very helpful in getting my supplements level to the point,4,Fake,,
3ZFRE2BDQ9ODDFOU5G1M3XJQV8MZXH,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3NL0RFNU0GXUC2ZSB6287QT3UXD4KR,ACF3N23GE5BFT,Submitted,Mon Nov 08 10:17:52 PST 2021,Mon Nov 08 10:18:32 PST 2021,Wed Nov 10 10:18:32 PST 2021,,,,40,0% (0/0),0% (0/0),0% (0/0),7,The products were very helpful in getting my supplements level to the point,4,Fake,,
3QD8LUVX4X8F6145YSU6ETCVU9EX58,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,358010RM5F3ZQFHEULIK6A1I3PZXVT,A2DDPSXH2X96RF,Submitted,Mon Nov 08 08:15:49 PST 2021,Mon Nov 08 08:28:05 PST 2021,Wed Nov 10 08:28:05 PST 2021,,,,736,0% (0/0),0% (0/0),0% (0/0),8,Always great products and great service with Better Way Health!,3,Real,,
3QD8LUVX4X8F6145YSU6ETCVU9EX58,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3XM0HYN6NL9DFVT1D4JTCTRT1VNPER,A2MCG5W6LHSRG9,Submitted,Mon Nov 08 08:15:57 PST 2021,Mon Nov 08 08:21:29 PST 2021,Wed Nov 10 08:21:29 PST 2021,,,,332,0% (0/0),0% (0/0),0% (0/0),8,Always great products and great service with Better Way Health!,3,Fake,,
3QD8LUVX4X8F6145YSU6ETCVU9EX58,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3ZY8KE4ISKDFHIG287NSC25P6MCQVP,A32DRYN7M7HIZT,Submitted,Mon Nov 08 08:16:54 PST 2021,Mon Nov 08 08:22:32 PST 2021,Wed Nov 10 08:22:32 PST 2021,,,,338,0% (0/0),0% (0/0),0% (0/0),8,Always great products and great service with Better Way Health!,3,Real,,
3QD8LUVX4X8F6145YSU6ETCVU9EX58,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,32RIADZISTES0LC0GFBAYCKDBQ14SH,A3TNLC6XGYNDKS,Submitted,Mon Nov 08 08:15:52 PST 2021,Mon Nov 08 08:15:57 PST 2021,Wed Nov 10 08:15:57 PST 2021,,,,5,0% (0/0),0% (0/0),0% (0/0),8,Always great products and great service with Better Way Health!,3,Real,,
301KG0KX9CVQLEL3B5AMD0LPM952HK,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,33PPUNGG39FW230CMJ1V2YSQQJKRZR,A1AHWC9TUBF2Z4,Submitted,Mon Nov 08 08:15:57 PST 2021,Mon Nov 08 08:35:57 PST 2021,Wed Nov 10 08:35:57 PST 2021,,,,1200,0% (0/0),0% (0/0),0% (0/0),9,Health is wealth.Very good experience and totally satisfied.,3,Real,,
301KG0KX9CVQLEL3B5AMD0LPM952HK,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3YZ8UPK3VUWBA2HJYZCSWBEPO1GUCF,A1QUQ0TV9KVD4C,Submitted,Mon Nov 08 09:16:28 PST 2021,Mon Nov 08 09:44:48 PST 2021,Wed Nov 10 09:44:48 PST 2021,,,,1700,0% (0/0),0% (0/0),0% (0/0),9,Health is wealth.Very good experience and totally satisfied.,3,Real,,
301KG0KX9CVQLEL3B5AMD0LPM952HK,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,31LVTDXBL8KCXEJ87IAMUJHSBACRL8,A2DDPSXH2X96RF,Submitted,Mon Nov 08 08:15:51 PST 2021,Mon Nov 08 08:28:16 PST 2021,Wed Nov 10 08:28:16 PST 2021,,,,745,0% (0/0),0% (0/0),0% (0/0),9,Health is wealth.Very good experience and totally satisfied.,3,Real,,
301KG0KX9CVQLEL3B5AMD0LPM952HK,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3MTMREQS4WS09R9Q9LV2849Y9DSWAY,ARFDXQ5RCR74G,Submitted,Mon Nov 08 08:22:44 PST 2021,Mon Nov 08 08:23:33 PST 2021,Wed Nov 10 08:23:33 PST 2021,,,,49,0% (0/0),0% (0/0),0% (0/0),9,Health is wealth.Very good experience and totally satisfied.,3,Real,,
