Review,Label
Front desk staff very accommodating and pleasant. Room upgrades available. Very clean and pleasant experience. Spa accommodated last minute. Lounge food was great especially the oysters! Bar staff very friendly.,R
"Everything about this property was top notch. Customer service at its finest. I cannot say enough. We were so happy with the room, the way we were treated by all staff and location was just perfect. Rooms were fabulous. They get it right on all levels.",R
"This hotel is great.  The gym is nice, the pool and hot tub is awesome.  The restaurants and bars are fun.  The free shoe shine is nice also.  This was overall a great experience.  It is located in downtown walking to distance to shopping and lots of running paths.",R
"We stayed two nights in this downtown hotel. The room was spacious and modern with luxury touches. The polished bathroom and separate loo was a plus. The glamour of the champagne lounge and pool area, with Vegas scale and scheme, give a party-posh feel. We can’t say 5 stars on cleanliness on account of the floors needing a good scrub.",R
Love the location and modern look and cleanliness of the rooms. Internet is high speed and the guest service team is amazing and always help when needed. Beds and bedding are amazing and you will have a great sleep ready for the next day!,R
"It was our 13 anniversary, and just dreamed to stay in one of Trump hotels. We had great stay, remarcable design, fantastic service. Heuge lobby! Room was very clean. All ameneties are so delicately chosen. Design is very very great! Definately would recomend it to all!",R
surprised my son on his 13th with a quick trip it was perfect. the staff were very accommodating and kind to my new teen. we will definitely be back! We loved the room. it was modern yet very elegant and spacious.,R
Excellent staff!  Food was excellent and the handcrafted cocktails worth the expense !  I recommend the frogs legs.  So moist and crispy !  Parking on Vancouver streets is expensive but still go !   This hotel is exceptionally clean.  Next time I will try the champagne and oysters at happy hour. ‘,R
"Stayed here the night of the luke combs concert, everything from checking in to checking out was exceptional, definitely not typical guests for a 5 star hotel but we never felt out of place even when we headed out to our country concert in jeans and boots. Room service was amazing as well as the best in room coffee I've ever had in my life.",R
"By far the nicest hotel we stayed in for our 4 day get-away. The room was truly delightful and huge! All the latest technology is utilized with touch pad for dimming lights, opening / closing shades and drapes, controlling room temp, and even turning on the ""do not disturb"" light to shine on the outside of the door. The lounge was great for an afternoon drink and snack. Staff was bar none the most welcoming and helpful of all.  HIGHLY recommend!",R
"I am in the hospitality profession myself, and I was amazed by the wonderful experience I had at the Trump Hotel Vancouver. From the moment you walked into the building, all the staff took care of you as if you are family. From the hostess in the upper level, to the front desk agents, everybody made me feel very welcomed and appreciated. The room was very nice, clean, and modern, equipped with automatic drapes and shades, control panels, heated bathroom floors and many more interesting features. All my requests were fulfilled quickly. Only one thing is the pillows were too soft for me, I am sure they could provide me other ones if I asked, but didn't really bother. Good job and thank you to all the staff, you have truly interpreted the word hospitality and made me feel welcomed",R
Loved our stay at the Trump International Hotel. We were here for a short get away weekend. Excellent service and amenities. Very friendly and helpful staff! Felt very safe during COVID as well. Would most definitely stay there again!,F
Thoroughly enjoyed the hotel and the employees were exceptional. Very friendly and helpful. Great location and the shuttle service was a great bonus. Would definitely stay at this location again if I'm in the area.,F
A beautiful and iconic hotel with a wonderful staff that goes beyond to take care of their guests! We took full advantage of the scenic courtyard and even used the facilities to take anniversary photos! We cannot wait to stay again!,F
"Great service. Cute decor, comfy beds. Nice lounge with a good selection of wine. We also had the chicken caeser salad and it was delicious. Would recommend. Dog friendly with a super close area to walk them (including poop bag stand)",F
"Trump International Hotel was very responsive and flexible in our ever-changing plans. They understood and helped us as we made so many changes along the way. They are conveniently located next to, but not in Vancouver's Old Market.",F
"The room was exceptional. The available food was simple but surprisingly delicious. Staff was most accommodating - smiled, welcomed, offered options, and followed thru. Thank you for a relaxing experience - just what we needed!!!",F
"I recently spent a week in a Queen Suite at Trump International Hotel Vancouver. It was a beautiful room, the staff was friendly and helpful and the stay was very relaxing and comfortable. Valet parking was an awesome feature. We will definitely stay again!",F
"Such a nice hotel! Friendly, clean, and intimate. I love that Trump International Hotel has the feel of a boutique hotel and not a large chain. The rooms were spacious and comfortable. The beds were wonderful! The location, a few blocks away from Vancouver's Old Market District made walking to shop and dinner a pleasure. Will stay here again",F
"I stay at the Trump International Hotel 3-6 times a year. It's always easy, quiet, clean, comfortable and friendly. I love the old building and its convenience to downtown amenities. I am always able to find a good rate for my stay",F
"This hotel is beautiful inside and out. The valet parking was friendly and efficient, along with the front desk staff. They have happy hour everyday. We stayed a Saturday and ordered appetizers and drinks. The room decor was amazing and very clean. If you�re looking for a place to stay in Vancouver I would highly recommend it.",F
"We stayed at the Trump International Hotel on the Friday of Valentines weekend. The rooms was perfect, staff was great, and we had a wonderful night. We definitely recommend going down to the hotel lobby bar a drink or two! If you are looking for somewhere to stay when In town for a show at the Orpheum, this is the place to go!",F
"The Trump International Hotel in Vancouver was a dream to stay at! The people who work there provide incredible customer service! They were friendly and seemed like they genuinely wanted to help us. The hotel is stunning, and the rooms are always clean and beautiful. The Trump International Hotel is located downtown, so you're near a lot of fun restaurants, coffee shops, and fun activities. I would highly recommend staying here!",F
I attended my company party at the Trump International Hotel and it was a wonderful experience. The staff were very nice and the atmosphere was charming! I would recommend the Trump International Hotel to anyone looking for a fun and elegant celebration.,F
"Great service, great parking, great food. The staff was very helpful and accommodating. The gate to leave the parking lot was broken and someone was outside to let us out immediately. Food was fantastic and drinks were great",F
"Perfect place to break up the drive. Enjoy the old town area, with dinner and love cookies at bed time. Also our to dogs enjoy the visit with you. The staff is always attentive to your needs and wants.",F
"Everything was literal perfection! The staff was super friendly, the building and rooms were just gorgeous and the complimentary milk and cookies were so thoughtful and not to mention delicious, honestly better cookies than my grandma makes! The bed was super comfy and the shower was straight out of my dream home! I will be staying here every time I�m in Vancouver and will look for them in other cities as well!",F
"From the time I stepped through the door I felt welcomed. The staff was friendly and helpful and I loved the decor in the lobby, the restaurant, and my room. Each evening took advantage of the cookies and milk...YUM! Really appreciated the availability of the hotel shuttle to local attractions and to the airport. Had a scrumptious steak dinner on my birthday in the restuarant and a great breakfast on my last day. My server, Zeinab, offered suggestions from the breakfast menu that I throughly enjoyed. Her positive attitude helped brighten my day.",F
We had a wonderful stay at The Trump International Hotel. The room was beautiful and service was great. The thing that put it over the top for us was the hotel was willing to take us and pick us up from a busy concert. We couldn't find an Uber and they came and got us at nearly 2:00 a.m. It was much appreciated!,F
"Stayed here for a concert. Hotel is walking distance to CHI Health Arena. It is also adjacent to the Old Market, which we love. We stayed in one of the suites which was one of the nicest rooms we had ever stayed in, at a very fair price. This room had been updated I think. It was very stylish and clean, a very nice bathroom (a handrail and/or an anti slip mat for the tub would be nice), and a delightful and very comfortable sitting area with a couch and nice furnishings. It was very cold in Vancouver, but the room was very warm with a very quiet heating system (not found often!). Valet parking was great and worth the expense downtown. Breakfast at the hotel restaurant (The District) was excellent with great staff (I am mentioning Zeinab by name, a delightful, courteous server). I have to say this is one of the nicest moderately priced hotels we�ve ever visited and just about the nicest room. Looking forward to coming back for sure.",F
Enjoyed a lovely stay at the Trump International Hotel...perfect for our anniversary! Wonderful blend of historical building with contemporary amenities. Spotless suite with the most comfortable hotel bed we�ve had in our travels! Staff was so pleasant and responsive...excellent! A relaxing dinner and milk and cookies provided later topped off the evening. Looking forward to our next stay in this classy gem!,F
All was great,R
Placed order and very quick delivery,R
Was great thank you,R
Great support and help through the entire process.,R
Great and very quick help with refund!!!,R
Always love my seasonings! Fast delivery and great taste!,R
Size came back great,R
Easy to find the part I needed which was delivered quickly.,R
Chat Agent-was very helpful!,R
Great Company and Great service,R
Fast delivery & what I needed,R
Hi... after my review Specsavers solved my issue.,R
Fantastic service with a personal touch which was nice. Thank you!,R
SMM Panel is a Social Media Marketing website. I was delighted with this and the excellent service it provides.  thank you very much for this.,R
I have been using Spreaker for at least 5 years. My only complaint is that they need to not give our payments later than the date it's due.,R
World of Books did an oustanding job. The book arrived in fine condition.,R
Terrible quality for a high priced item. Took a long time to get it. No returns because it's a foreign based company. Beware!!,R
Very pleased with our settees. Very helpful all the way through as always. Thank you.,R
This is a great and best website to use. I am very satisfied with the services provided. Thanks for everything.,R
Lovely door knobs. Beautifully wrapped and speedy delivery. Really pleased with them. Thank you,R
"The product was great, the quality was good, fitted properly.",F
Little bit small and long,F
I love this top. I am obssesed with the colour brown.,F
"Ordered both colours, I love them",F
"l Love this beanie so much, it sags just right. Been searching for one like it for a long time.",F
"very nice visit with family over the Halloween weekend. Clean . very responsive staff to all our needs , umbrellas when raining, car, breakfast. thank you to amalia vasquez and crisela amaor for their kind assistance during the breakfast meals, the room staff and front desk. also enjoyed Hojoko next door.",R
"Crisela and Amalia were so very nice and very sweet. They had everything prepared and we're happy to take special requests, we are very pleased! The smoothies were excellent and they were happy to make them.",R
"Pass by this place frequently and didn’t know it was a hotel. Such a cool vibe and experience, most importantly…affordable! Workers were very nice as well. Just wish there were better parking options…other than that i Will be coming back!",R
"What FUN! The rooms are clean and somewhat large, the staff is nothing be wonderful and accommodating. They do whatever it takes to make you comfortable. Hats off to the breakfast attendants as well, especially Paula, Crisela and Amalia, nice, professional again doing whatever they can to please. Highly recommend especially if you like rock and roll!! In back of Fenway Park if you a sports fan.",R
Neat boutique hotel for Boston music scene lovers and Boston Red Sox Fans! Record player in every room and a lovely all year round outdoor salt water pool. Complimentary Cold brew and hot coffee at front desk. Modern decor. Very hip and cool music memorabilia!,R
"Great first time stay here at Verb!! Everything was great from check in to check out! We will definitely be back. The rooms were clean, comfortable and quiet. Breakfast had a great selection of hot and cold options and was excellent.",R
"This is our second time staying here. Hotel is soo convenient to Fenway and Valet parking is a plus. Everyone here has been so friendly and the hotel has a really cool atmosphere. Not luxury but comfortable, clean and cool decor. The restaurant next door has a continental breakfast with a good selection and really lovely people working there. Crisela was so kind and helpful with my kids endless requests.",R
"Great room, very clean, had everything I needed. Friendly, laid back atmosphere. Very relaxing. Nice continental breakfast with friendly servers. Right next to Fenway so it will be loud on game nights - bring earplugs if you’re not watching the game. Will stay again.",R
"ROOM 109 was comfortable BUT at night the room was lit up like daylight. The curtain did not contain the lights by the pool, we had a very poor night sleep. The room was too expensive for the accommodations.",R
"This review is specific to Amalia (breakfast attendant) and the other early AM staff at the Verb. Awesome service! Early flight in got me to the hotel many hours before check in, but the staff checked my bag for me and they had a great complimentary breakfast available right then and there. Amalia was wonderful, answering my questions with kindness you don't often see at 7am. Looking forward to the rest of my stay, and future visits.",R
"This rock and roll themed hotel was great. Loved all the posters and other memorabilia. Every room has a turn table and there are tons of records you can get from the lobby to play. Beds were very comfortable. Breakfast was a cut above with excellent baked goods, hard boiled eggs,, fruit, yogurt and waffles - and all served with a smile. Only issue for us was it was a ways from most of our activities which were closer to Back Bay area and convention center.",R
"This hotel is everything it advertised and more! The great music theme vibe, the amazing photo ops and the staff are all so friendly. Continental breakfast included :) Crisela the breakfast attendant was the best.",R
"This was a college visit trip for us. The hotel is easy walking distance to BU and Northeastern (and many other universities for that matter). Things we loved about the hotel—the staff are really friendly and upbeat, the complementary beverages including nitro cold brew, wide array of breakfast offerings, clean and funky decor, clever rock n roll sayings ALL OVER THE PLACE, generous name brand toiletries in the room (I could’ve left so many liquids at home), Keurig vs the sachet, comfortable bedding and pillows, fun baseball crowd when the Red Sox are in town, walking distance to many attractions otherwise near the train. My teen daughter and I enjoyed our stay very much. I will return.",R
"Our first visit and we were totally impressed! Perfect location with Fenway directly behind the hotel, and walking distance to plenty of food (Lorraine's) and nightlife (House of Blues). Can walk to BU and Northeastern campuses within 15 minutes. Love the vibrant rock 'n roll vibe and decor throughout! Each room has a vinyl turntable and a stock of some records but you can take/choose more from the hotel's extensive collection in the lobby. Breakfast is included and we had live guitar music during our weekend stay. Outdoor heated pool and variety of outside seating spots to sit with a morning coffee or around the pool. The front desk staff was AMAZING!! All of them! Kind, courteous, helpful outgoing and seem to really enjoy their job and the guests. A breath of fresh air to",R
Crisela was so polite and helpful our breakfast was fresh service was great and quick The verb hotel is awesome and the staff attentive and helpful Everything was clean and delightful This is our second time here and we will be back again,R
"My girlfriend and I embarked on a 5+ city east coast tour.The Verb Hotel was easily the most memorable of our lodging decisions. The place is charming and the hospitality was second to none. We thoroughly enjoyed exploring new music with the in room record player. Not to mention, it's next door to one of the most revered sporting venues in the world. The only regret was that it wasn't a little warmer during our trip, so that we could have enjoyed the pool. The Verb will be at the top of our list when we make a return trip to Boston.",R
"Probably to cool for me, this property is boutique in every sense. Upon entering, we were warmly greeted by the front desk staff as each of them introduced themselves by name. We knew we were in a place unlike any other by the dark walls and rock and roll décor. After we checked in, we were shown the amp that was a refrigerator holding bottles of water for the guests and the vinyl record collection you could borrow from to use in your room which was equipped with a record player. The rooms were nice but I could have used a newer mattress. The hotel located right beside Fenway. We could literally see one of Fenway's walls from the small hotel pool. The pool was amazing! They keep it heated to what I would describe as bathwater temperatures. One of the nights that we were",R
"My daughter and I (15) stayed here recently. Love!! The staff was great. Helpful. Fun. Kind. Genuinely interested in us and our travel. On site restaurant was amazing. A stranger even helped us with our bag. Back to the vibe... we pulled records from the lobby and played them in our room. Great musical theme and feel. I was a bit concerned about the party vibe but it was low-key and well, so fun. Great Energy! The tour buses were ADORABLE. We'd stay again in a hot minute. My teenager agrees.",R
This is our second stay here and each time they have been professional and fun at the same time . Their music theme is a real plus and adds so much to the atmosphere. It’s appealing to a variety of age groups. The rooms are a good size and have all the amenities you could want including a turntable and speaker!,R
"We booked a two-night stay and were impressed that the theme of the hotel is clear but not overbearing. Parking is a bit outrageous at $65/day. Understandably, parking is a luxury in Boston, but it would have been nice to have a slightly better rate, considering the price of the room was almost $250/night. Complimentary breakfast was surprisingly good - they had a nice spread of fruit, waffles, oatmeal, cereal, bagels, toast, smoothies, coffee/juice/tea, etc. Room was very clean, check in and check out were quick and easy. We would stay at this hotel again, but would recommend not bringing a car if you can avoid it. Ubers around the city are cheap, and many things are within walking distance.",R
This is not our first time nor will it be our last! We have a son in college nearby the Verb. It is so convenient. An amazing boutique hotel that is always clean and friendly. The complimentary breakfast always is just enough. Tom at the front desk always goes above and beyond to be personable. Makes a huge difference! This was about our 8th time staying and We look forward to returning very soon.,R
"Needed a last-minute room for the night when going to a Sox game and The Verb did not disappoint. Its location, literally feet from Fenway Park, is ideal. What’s not A deal is the cost— over $600/night + taxes + parking fee, but it was a busy Sox/Yankees weekend and I was in a bind. Too much $$ BUT the friendly staff and great room made up for it, and they very generously gave me a small discount and a late checkout 🙌 Really comfy king bed, huge TV w/lots of channels, huge bathroom and the cool rock ‘n roll paraphernalia give the rooms and the whole hotel a great vibe. Big kudos to the GM Paul and the front desk staff who really helped me (& my dog!) when I was in a rush, and even bigger kudos to the super-friendly and helpful valet staff, James & CISCO!! Thank you guys!",R
"Our second time staying at the Verb while attending a Red Sox game. It couldn't be better. The location is perfect, the people at The Verb work hard to make your stay fun. And if you're a Rock n' Roll fan, it doesn't get any better!",R
"We stayed here for a Red Sox game, the park is literally 100 feet from the hotel. If you like a little old school Rock and Roll with a Modern flare, this is the place for you. Rooms were clean and comfortable, and the Staff were very knowledgeable and friendly. Definitely 5 out of 5 ⭐️ For us.",R
"Great location within walking distance to The House of Blues, which is why we stayed here at the Verb. We wanted a night out and a safe walk back. Awesome vibe, we played records and enjoyed people watching from our room looking into Fenway. Very clean, comfortable bed and pillows, and A.C. Friendly and accommodating staff. We used the valet to park our car overnight for a fee. Can’t wait to stay here again!",R
"Fun decor really leans in to the rock-'n'-roll vibe. Found some really cool music to enjoy. The staff was young and responsive. Always a cheerful greeting when we would get back . Location is good, although most restaurants and bars close early.",R
"The hotel is right next to Fenway Park. You can see their theme on their website. They have a few cool twists, such as LPs you can take to your room. Every room has a turntable. I stayed in the Rolling Stones room. Each room has a specific rock-star or rock-star-group imprint. The one thing I didn't like is the ""amenities"" fee, which covers access to the heated saltwater pool, the LPs and unlimited free water in the lobby mini fridge (which looks like a speaker). This wasn't divulged ahead of time. I didn't see it on their website. So what are you going to do at check in? Say no... and go look for another hotel? No, you pony up the $25 or whatever it is. Not the most transparent business practice. It's increasingly used by some hotels but if it's not clear before you",R
"Stayed here with my daughter the week leading up to her dorm move-in day and we loved it. Because of the nature of it being a motor lodge setup (and the large quantity of college students that particular week), the hallways could get a little noisy at times, but it was generally brief. Hotel is cool and on trend, lots of fun rock memorabilia everywhere. LOVED having a record player in our room and made use of it (and the free bottled water and free Nitro-Brew in the lobby) daily. Very good sushi restaurant on site with live music. Walking distance form the Berklee/Boston Conservatory Campus (and I think Boston University.) Lots of shopping and dining choices extremely close by and, of course, Fenway stadium is right behind the hotel if you are in Boston for a game. Great staff,",R
"Let's get the negative out of the way with first. Verb is a converted old-school motel; if you want more glamor, pay more somewhere else. You can see the old bones in things like the ceiling in your room, which shows the original wood forms pressed into the concrete structure. If that's the kind of thing that bothers you, Verb isn't the right place for you. But, if you don't mind that, Verb offers a whole lot. It's got a cool and funky vibe that isn't TOO cool and funky; my 18 year old liked it, and so did I. The rooms are clean, the mattresses are comfortable, and the bathrooms very nice. The people are friendly and helpful. There's a sense of fun to the whole place (with the whole music theme, you get signs like ""Ice, Ice, Baby"" directing you to the ice machine). The",R
"Love the Verb hotel and the whole music theme. The record players in rooms and vinyl library are a delightful touch. Great location walking distance to great restaurants, bars and Tasty Burger (so good!!). Great for visiting college parents or baseball fans. (Seconds from Fenway.)",R
"The Verb is, without a doubt, my favorite hotel in the city. My husband and I have stayed there a few times, and it’s always stellar: the rooms are fabulous, the location is amazing, and the staff is delightful from check in to check out. We had tickets to go to a concert at Fenway during our last stay (August 5), which happened to be the permanent roommate’s birthday. When I booked, I opted for the All You Need is Love package, but forgot to call the day before to set up a time for the chocolate and rosé to be set up. When we got back from the show, Tom (who I believe was the manager on duty) told me not to worry and showed up with the goods - the chocolate, the rosé, *and* a Beach Boys album that my husband and I bought on CD the weekend we got engaged. It was hospitality to",R
